Date,download
2012-08-04,5.803999999999999
2012-08-05,8.475
2012-08-06,6.584
2012-08-07,4.262
2012-08-08,6.877999999999999
2012-08-09,5.627000000000001
2012-08-10,4.9910000000000005
2012-08-11,2.376
2012-08-12,5.1770000000000005
2012-08-13,3.364
2012-08-14,5.375
2012-08-15,5.2
2012-08-16,4.843
2012-08-17,4.284
2012-08-18,3.638
2012-08-19,7.297000000000001
2012-08-20,4.861000000000001
2012-08-21,2.844
2012-08-22,4.137
2012-08-23,5.24
2012-08-24,4.3260000000000005
2012-08-25,6.66
2012-08-26,3.79
2012-08-27,5.85
2012-08-28,3.8569999999999998
2012-08-29,4.853
2012-08-30,5.537000000000001
2012-08-31,3.3139999999999996
2012-09-01,4.842
2012-09-02,7.358
2012-09-03,2.655
2012-09-04,6.686
2012-09-05,5.78
2012-09-06,6.502000000000001
2012-09-07,3.202
2012-09-08,4.208
2012-09-09,4.005
2012-09-10,6.728
2012-09-11,4.788
2012-09-12,5.361000000000001
2012-09-13,3.5789999999999997
2012-09-14,2.637
2012-09-15,2.84
2012-09-16,5.803
2012-09-17,7.108
2012-09-18,8.415
2012-09-19,6.242999999999999
2012-09-20,6.3020000000000005
2012-09-21,1.801
2012-09-22,5.766
2012-09-23,5.622999999999999
2012-09-24,2.4090000000000003
2012-09-25,4.0569999999999995
2012-09-27,1.578
2012-09-28,5.682
2012-09-29,2.7689999999999997
2012-09-30,4.016
2012-10-01,3.613
2012-10-02,8.042
2012-10-03,5.0889999999999995
2012-10-04,1.673
2012-10-05,5.026
2012-10-06,8.677
2012-10-07,8.022
2012-10-08,3.194
2012-10-09,8.329
2012-10-10,6.294
2012-10-11,6.92
2012-10-12,11.264000000000001
2012-10-13,6.814
2012-10-14,4.004
2012-10-15,2.969
2012-10-16,3.8710000000000004
2012-10-17,3.429
2012-10-18,8.648
2012-10-19,3.0589999999999997
2012-10-20,4.191
2012-10-21,6.185
2012-10-22,4.85
2012-10-23,3.258
2012-10-24,6.917999999999999
2012-10-25,9.215
2012-10-26,6.736000000000001
2012-10-27,7.454
2012-10-28,7.2829999999999995
2012-10-29,5.239
2012-10-30,13.405
2012-10-31,5.221
2012-11-01,0.785
2012-11-02,6.327999999999999
2012-11-03,3.822
2012-11-04,6.272
2012-11-05,2.44
2012-11-06,6.115
2012-11-07,1.7790000000000001
2012-11-08,1.528
2012-11-09,7.57
2012-11-10,7.901
2012-11-11,5.825
2012-11-12,6.678999999999999
2012-11-13,2.459
2012-11-14,19.904
2012-11-15,6.705
2012-11-16,7.29
2012-11-17,6.407
2012-11-18,5.582000000000001
2012-11-19,6.631
2012-11-20,5.4
2012-11-21,4.346
2012-11-22,7.044
2012-11-23,5.502000000000001
2012-11-24,6.354
2012-11-25,11.720999999999998
2012-11-26,5.169
